commit	component_content_hash	fixture_hash	primary_score_median	primary_score_stdev	n_runs	status	diagnostic_json	description
0a1d1bbbcc5fa9db092c7abcf6a289b76b22517a	3f2faff7d884d1a79ce5747151ba64f106fc7654a7757042f8fec41df24b67a9	37915af792149fb569a20ed827520122cd3a35e22e7015b50c7128ed7dcd4233	0.95	0.0	1	ok	"{""n_runs"":1,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":1,""conditional_total"":1,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":160444,""line_budget_ok"":true,""line_count_agents_md"":32,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v1"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":17,""turns_used"":39,""unexpected_claude_md"":0},""primary"":0.95,""status"":""ok""}],""scorer_version"":""v1""}"	Node + Next.js + pnpm + web UI; expects qa.md, no deploy.md, no tracking.md
c00c259e1a5d5010e8a2527e327303088588e316	3f2faff7d884d1a79ce5747151ba64f106fc7654a7757042f8fec41df24b67a9	37915af792149fb569a20ed827520122cd3a35e22e7015b50c7128ed7dcd4233	1.0	0.0	3	ok	"{""n_runs"":3,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":1,""conditional_total"":1,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":112662,""line_budget_ok"":true,""line_count_agents_md"":32,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v2"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":17,""turns_used"":33,""unexpected_claude_md"":0},""primary"":1.0,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":1,""conditional_total"":1,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":177171,""line_budget_ok"":true,""line_count_agents_md"":32,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v2"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":17,""turns_used"":39,""unexpected_claude_md"":0},""primary"":1.0,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":1,""conditional_total"":1,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":276842,""line_budget_ok"":true,""line_count_agents_md"":32,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v2"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":17,""turns_used"":45,""unexpected_claude_md"":0},""primary"":1.0,""status"":""ok""}],""scorer_version"":""v2""}"	Node + Next.js + pnpm + web UI; expects qa.md, no deploy.md, no tracking.md
90e24ebe154dc56bdd84999d6e576d2e25b7bb76	3f2faff7d884d1a79ce5747151ba64f106fc7654a7757042f8fec41df24b67a9	37915af792149fb569a20ed827520122cd3a35e22e7015b50c7128ed7dcd4233	1.0	0.0	3	ok	"{""n_runs"":3,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":1,""conditional_total"":1,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":158633,""line_budget_ok"":true,""line_count_agents_md"":32,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v2"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":17,""turns_used"":31,""unexpected_claude_md"":0},""primary"":1.0,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":1,""conditional_total"":1,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":199559,""line_budget_ok"":true,""line_count_agents_md"":32,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v2"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":17,""turns_used"":40,""unexpected_claude_md"":0},""primary"":1.0,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":1,""conditional_total"":1,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":132542,""line_budget_ok"":true,""line_count_agents_md"":32,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v2"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":17,""turns_used"":36,""unexpected_claude_md"":0},""primary"":1.0,""status"":""ok""}],""scorer_version"":""v2""}"	Node + Next.js + pnpm + web UI; expects qa.md, no deploy.md, no tracking.md
90e24ebe154dc56bdd84999d6e576d2e25b7bb76	3f2faff7d884d1a79ce5747151ba64f106fc7654a7757042f8fec41df24b67a9	618b107ec3a47ab009c7040163caae6d74d6fc82588c5da75c20e6f783266223	0.842105	0.0	3	ok	"{""n_runs"":3,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":0,""conditional_total"":0,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":156632,""line_budget_ok"":true,""line_count_agents_md"":29,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v2"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":18,""turns_used"":29,""unexpected_claude_md"":0},""primary"":0.842105,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":0,""conditional_total"":0,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":154653,""line_budget_ok"":true,""line_count_agents_md"":31,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v2"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":18,""turns_used"":35,""unexpected_claude_md"":0},""primary"":0.842105,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":0,""conditional_total"":0,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":142185,""line_budget_ok"":true,""line_count_agents_md"":31,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v2"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":18,""turns_used"":30,""unexpected_claude_md"":0},""primary"":0.842105,""status"":""ok""}],""scorer_version"":""v2""}"	Python + poetry + pytest; no web UI, no release, no tracker
90e24ebe154dc56bdd84999d6e576d2e25b7bb76	3f2faff7d884d1a79ce5747151ba64f106fc7654a7757042f8fec41df24b67a9	5a1a965056d07278ad270d6a82d350fe15ad260b943ef758bd16d9a2ea1e2523	1.0	0.0	3	ok	"{""n_runs"":3,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":1,""conditional_total"":1,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":138814,""line_budget_ok"":true,""line_count_agents_md"":32,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v2"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":20,""turns_used"":35,""unexpected_claude_md"":0},""primary"":1.0,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":1,""conditional_total"":1,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":185268,""line_budget_ok"":true,""line_count_agents_md"":33,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v2"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":20,""turns_used"":40,""unexpected_claude_md"":0},""primary"":1.0,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":1,""conditional_total"":1,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":166111,""line_budget_ok"":true,""line_count_agents_md"":32,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v2"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":20,""turns_used"":37,""unexpected_claude_md"":0},""primary"":1.0,""status"":""ok""}],""scorer_version"":""v2""}"	Go + Dockerfile + release workflow; release signals; no web UI
90e24ebe154dc56bdd84999d6e576d2e25b7bb76	3f2faff7d884d1a79ce5747151ba64f106fc7654a7757042f8fec41df24b67a9	6d01e2dcc076c9af12a6fa9e1b3b34d8afdfa779270b83080b436203cef58fe0	1.0	0.0	3	ok	"{""n_runs"":3,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":1,""conditional_total"":1,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":229327,""line_budget_ok"":true,""line_count_agents_md"":38,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v2"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":21,""turns_used"":38,""unexpected_claude_md"":0},""primary"":1.0,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":1,""conditional_total"":1,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":258646,""line_budget_ok"":true,""line_count_agents_md"":38,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v2"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":21,""turns_used"":38,""unexpected_claude_md"":0},""primary"":1.0,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":1,""conditional_total"":1,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":181139,""line_budget_ok"":true,""line_count_agents_md"":38,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v2"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":21,""turns_used"":35,""unexpected_claude_md"":0},""primary"":1.0,""status"":""ok""}],""scorer_version"":""v2""}"	Monorepo Next.js + Python; web UI present; no release signals
90e24ebe154dc56bdd84999d6e576d2e25b7bb76	3f2faff7d884d1a79ce5747151ba64f106fc7654a7757042f8fec41df24b67a9	44c5219d2ef85ab0608d9b82e00c43604e561dc28aaa267e14411c1f080df7af	0.842105	0.0	3	ok	"{""n_runs"":3,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":0,""conditional_total"":0,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":117271,""line_budget_ok"":true,""line_count_agents_md"":30,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v2"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":13,""turns_used"":25,""unexpected_claude_md"":0},""primary"":0.842105,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":0,""conditional_total"":0,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":182649,""line_budget_ok"":true,""line_count_agents_md"":31,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v2"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":13,""turns_used"":30,""unexpected_claude_md"":0},""primary"":0.842105,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":0,""conditional_total"":0,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":122340,""line_budget_ok"":true,""line_count_agents_md"":30,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v2"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":13,""turns_used"":26,""unexpected_claude_md"":0},""primary"":0.842105,""status"":""ok""}],""scorer_version"":""v2""}"	Greenfield project; README-only; minimum-signal path
e16e23a9826975c7b34ff78e3f83ecc2cad973ff	3f2faff7d884d1a79ce5747151ba64f106fc7654a7757042f8fec41df24b67a9	5a1a965056d07278ad270d6a82d350fe15ad260b943ef758bd16d9a2ea1e2523	0.047847	0.0	1	ok	"{""n_runs"":1,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":0,""conditional_total"":1,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":0,""gitignore_total"":2,""latency_ms"":64454,""line_budget_ok"":false,""line_count_agents_md"":0,""missing_conditional"":["".claude/deploy.md""],""missing_required"":[""AGENTS.md"","".claude/settings.json"","".claude/settings.local.json"","".claude/findings.md"","".agentic/preferences.json"",""docs/overview/.gitkeep"",""docs/technical/.gitkeep"",""docs/planning/.gitkeep"",""docs/research/.gitkeep"","".gitignore""],""required_present"":1,""required_total"":11,""scorer_version"":""v3"",""section_hits"":0,""section_total"":4,""snapshot_file_count"":8,""turns_used"":5,""unexpected_claude_md"":0},""primary"":0.047847,""status"":""ok""}],""scorer_version"":""v3""}"	Go + Dockerfile + release workflow; release signals; no web UI
e16e23a9826975c7b34ff78e3f83ecc2cad973ff	3f2faff7d884d1a79ce5747151ba64f106fc7654a7757042f8fec41df24b67a9	6d01e2dcc076c9af12a6fa9e1b3b34d8afdfa779270b83080b436203cef58fe0	1.0	0.0	1	ok	"{""n_runs"":1,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":1,""conditional_total"":1,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":178099,""line_budget_ok"":true,""line_count_agents_md"":39,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v3"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":21,""turns_used"":36,""unexpected_claude_md"":0},""primary"":1.0,""status"":""ok""}],""scorer_version"":""v3""}"	Monorepo Next.js + Python; web UI present; no release signals
e16e23a9826975c7b34ff78e3f83ecc2cad973ff	3f2faff7d884d1a79ce5747151ba64f106fc7654a7757042f8fec41df24b67a9	37915af792149fb569a20ed827520122cd3a35e22e7015b50c7128ed7dcd4233	1.0	0.0	1	ok	"{""n_runs"":1,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""conditional_present"":1,""conditional_total"":1,""extras_penalty"":0.0,""extras_raw"":0.0,""forbidden_paths"":[],""forbidden_present"":0,""gitignore_hits"":2,""gitignore_total"":2,""latency_ms"":255290,""line_budget_ok"":true,""line_count_agents_md"":32,""missing_conditional"":[],""missing_required"":[],""required_present"":11,""required_total"":11,""scorer_version"":""v3"",""section_hits"":4,""section_total"":4,""snapshot_file_count"":17,""turns_used"":32,""unexpected_claude_md"":0},""primary"":1.0,""status"":""ok""}],""scorer_version"":""v3""}"	Node + Next.js + pnpm + web UI; expects qa.md, no deploy.md, no tracking.md
